dataset,size,algorithm,avg_time_us,avg_char_comparisons
common_prefix,300,lcp_string_merge_sort,338.99,6403
common_prefix,300,msd_radix_sort,123.37,5210
common_prefix,300,msd_radix_sort_with_quick_switch,86.42,6518
common_prefix,400,quick_sort,71.80,92939
common_prefix,400,merge_sort,146.06,45562
common_prefix,400,ternary_string_quick_sort,14.18,10724
common_prefix,400,lcp_string_merge_sort,476.33,8673
common_prefix,400,msd_radix_sort,156.92,6979
common_prefix,400,msd_radix_sort_with_quick_switch,114.58,8792
common_prefix,500,quick_sort,99.83,132945
common_prefix,500,merge_sort,195.81,60685
common_prefix,500,ternary_string_quick_sort,17.22,13549
common_prefix,500,lcp_string_merge_sort,616.68,11019
common_prefix,500,msd_radix_sort,194.70,8751
common_prefix,500,msd_radix_sort_with_quick_switch,142.58,11426
common_prefix,600,quick_sort,113.72,148164
common_prefix,600,merge_sort,248.77,74682
common_prefix,600,ternary_string_quick_sort,21.32,16654
common_prefix,600,lcp_string_merge_sort,768.38,13358
common_prefix,600,msd_radix_sort,239.04,10530
common_prefix,600,msd_radix_sort_with_quick_switch,169.31,13788
common_prefix,700,quick_sort,139.12,179500
common_prefix,700,merge_sort,305.68,89620
common_prefix,700,ternary_string_quick_sort,27.92,19491
common_prefix,700,lcp_string_merge_sort,921.24,15709
common_prefix,700,msd_radix_sort,290.85,12334
common_prefix,700,msd_radix_sort_with_quick_switch,205.24,16268
common_prefix,800,quick_sort,165.03,211363
common_prefix,800,merge_sort,355.47,104791
common_prefix,800,ternary_string_quick_sort,31.04,22288
common_prefix,800,lcp_string_merge_sort,1056.21,18039
common_prefix,800,msd_radix_sort,344.80,14137
common_prefix,800,msd_radix_sort_with_quick_switch,252.47,14547
common_prefix,900,quick_sort,194.42,241948
common_prefix,900,merge_sort,396.29,121919
common_prefix,900,ternary_string_quick_sort,34.82,25477
common_prefix,900,lcp_string_merge_sort,1229.06,20505
common_prefix,900,msd_radix_sort,380.26,15946
common_prefix,900,msd_radix_sort_with_quick_switch,297.18,16449
common_prefix,1000,quick_sort,209.70,261500
common_prefix,1000,merge_sort,462.45,138704
common_prefix,1000,ternary_string_quick_sort,40.87,28119
common_prefix,1000,lcp_string_merge_sort,1364.89,22927
common_prefix,1000,msd_radix_sort,431.17,17762
common_prefix,1000,msd_radix_sort_with_quick_switch,321.41,18376
common_prefix,1100,quick_sort,225.17,288067
common_prefix,1100,merge_sort,506.07,154778
common_prefix,1100,ternary_string_quick_sort,42.78,31481
common_prefix,1100,lcp_string_merge_sort,1508.52,25386
common_prefix,1100,msd_radix_sort,476.74,19577
common_prefix,1100,msd_radix_sort_with_quick_switch,356.44,20326
common_prefix,1200,quick_sort,254.65,341841
common_prefix,1200,merge_sort,558.59,170086
common_prefix,1200,ternary_string_quick_sort,47.17,34127
common_prefix,1200,lcp_string_merge_sort,1683.33,27727
common_prefix,1200,msd_radix_sort,527.66,21390
common_prefix,1200,msd_radix_sort_with_quick_switch,376.89,22306
common_prefix,1300,quick_sort,291.02,394104
common_prefix,1300,merge_sort,616.76,186144
common_prefix,1300,ternary_string_quick_sort,53.16,37359
common_prefix,1300,lcp_string_merge_sort,1830.32,30130
common_prefix,1300,msd_radix_sort,565.82,23212
common_prefix,1300,msd_radix_sort_with_quick_switch,420.17,24268
common_prefix,1400,quick_sort,321.84,428844
common_prefix,1400,merge_sort,673.63,203595
common_prefix,1400,ternary_string_quick_sort,56.58,40700
common_prefix,1400,lcp_string_merge_sort,2020.28,32603
common_prefix,1400,msd_radix_sort,618.03,25043
common_prefix,1400,msd_radix_sort_with_quick_switch,462.53,26254
common_prefix,1500,quick_sort,326.38,433342
common_prefix,1500,merge_sort,729.72,221000
common_prefix,1500,ternary_string_quick_sort,62.65,43435
common_prefix,1500,lcp_string_merge_sort,2185.40,35034
common_prefix,1500,msd_radix_sort,653.73,26845
common_prefix,1500,msd_radix_sort_with_quick_switch,493.43,28223
common_prefix,1600,quick_sort,343.68,441690
common_prefix,1600,merge_sort,789.27,237559
common_prefix,1600,ternary_string_quick_sort,67.98,46073
common_prefix,1600,lcp_string_merge_sort,2347.75,37384
common_prefix,1600,msd_radix_sort,711.77,28659
common_prefix,1600,msd_radix_sort_with_quick_switch,525.98,30204
common_prefix,1700,quick_sort,378.92,503371
common_prefix,1700,merge_sort,836.69,257601
common_prefix,1700,ternary_string_quick_sort,73.01,49181
common_prefix,1700,lcp_string_merge_sort,2502.07,40066
common_prefix,1700,msd_radix_sort,756.50,30473
common_prefix,1700,msd_radix_sort_with_quick_switch,567.84,32169
common_prefix,1800,quick_sort,394.33,514761
common_prefix,1800,merge_sort,895.05,274948
common_prefix,1800,ternary_string_quick_sort,79.93,52411
common_prefix,1800,lcp_string_merge_sort,2670.53,42497
common_prefix,1800,msd_radix_sort,789.23,32282
common_prefix,1800,msd_radix_sort_with_quick_switch,600.38,34217
common_prefix,1900,quick_sort,414.50,530244
common_prefix,1900,merge_sort,964.42,293666
common_prefix,1900,ternary_string_quick_sort,86.24,54831
common_prefix,1900,lcp_string_merge_sort,2827.56,45022
common_prefix,1900,msd_radix_sort,828.86,34098
common_prefix,1900,msd_radix_sort_with_quick_switch,639.42,36238
common_prefix,2000,quick_sort,451.93,596393
common_prefix,2000,merge_sort,1024.63,312334
common_prefix,2000,ternary_string_quick_sort,98.98,59246
common_prefix,2000,lcp_string_merge_sort,2918.73,47542
common_prefix,2000,msd_radix_sort,846.77,35917
common_prefix,2000,msd_radix_sort_with_quick_switch,666.58,38240
common_prefix,2100,quick_sort,472.56,623559
common_prefix,2100,merge_sort,1103.58,330361
common_prefix,2100,ternary_string_quick_sort,94.40,61917
common_prefix,2100,lcp_string_merge_sort,3111.87,50064
common_prefix,2100,msd_radix_sort,903.53,37736
common_prefix,2100,msd_radix_sort_with_quick_switch,678.73,40255
common_prefix,2200,quick_sort,511.63,690222
common_prefix,2200,merge_sort,1110.38,348067
common_prefix,2200,ternary_string_quick_sort,99.10,64674
common_prefix,2200,lcp_string_merge_sort,3273.91,52529
common_prefix,2200,msd_radix_sort,941.54,39554
common_prefix,2200,msd_radix_sort_with_quick_switch,707.98,42276
common_prefix,2300,quick_sort,526.36,672366
common_prefix,2300,merge_sort,1129.53,365319
common_prefix,2300,ternary_string_quick_sort,108.01,67532
common_prefix,2300,lcp_string_merge_sort,3449.97,54970
common_prefix,2300,msd_radix_sort,1022.92,41378
common_prefix,2300,msd_radix_sort_with_quick_switch,757.90,44329
common_prefix,2400,quick_sort,562.23,732357
common_prefix,2400,merge_sort,1250.19,381749
common_prefix,2400,ternary_string_quick_sort,115.72,71197
common_prefix,2400,lcp_string_merge_sort,3553.32,57325
common_prefix,2400,msd_radix_sort,990.47,43186
common_prefix,2400,msd_radix_sort_with_quick_switch,797.82,46374
common_prefix,2500,quick_sort,572.50,753068
common_prefix,2500,merge_sort,1301.99,399881
common_prefix,2500,ternary_string_quick_sort,121.80,74391
common_prefix,2500,lcp_string_merge_sort,3768.76,59877
common_prefix,2500,msd_radix_sort,1065.91,45004
common_prefix,2500,msd_radix_sort_with_quick_switch,835.35,48408
common_prefix,2600,quick_sort,620.47,834433
common_prefix,2600,merge_sort,1342.72,417777
common_prefix,2600,ternary_string_quick_sort,129.87,76613
common_prefix,2600,lcp_string_merge_sort,3881.10,62288
common_prefix,2600,msd_radix_sort,1102.24,46828
common_prefix,2600,msd_radix_sort_with_quick_switch,866.64,50546
common_prefix,2700,quick_sort,615.33,804491
common_prefix,2700,merge_sort,1414.73,438031
common_prefix,2700,ternary_string_quick_sort,134.30,81330
common_prefix,2700,lcp_string_merge_sort,4097.04,64970
common_prefix,2700,msd_radix_sort,1136.78,48642
common_prefix,2700,msd_radix_sort_with_quick_switch,901.41,52604
common_prefix,2800,quick_sort,669.19,878193
common_prefix,2800,merge_sort,1475.80,455963
common_prefix,2800,ternary_string_quick_sort,143.70,84391
common_prefix,2800,lcp_string_merge_sort,4231.28,67420
common_prefix,2800,msd_radix_sort,1204.09,50458
common_prefix,2800,msd_radix_sort_with_quick_switch,920.52,54668
common_prefix,2900,quick_sort,678.11,884990
common_prefix,2900,merge_sort,1561.01,475992
common_prefix,2900,ternary_string_quick_sort,140.82,86640
common_prefix,2900,lcp_string_merge_sort,4520.00,70006
common_prefix,2900,msd_radix_sort,1249.38,52276
common_prefix,2900,msd_radix_sort_with_quick_switch,977.98,56731
common_prefix,3000,quick_sort,713.85,916706
common_prefix,3000,merge_sort,1587.29,494848
common_prefix,3000,ternary_string_quick_sort,149.33,90169
common_prefix,3000,lcp_string_merge_sort,4592.69,72515
common_prefix,3000,msd_radix_sort,1299.94,54091
common_prefix,3000,msd_radix_sort_with_quick_switch,1001.47,58800
