dataset,size,algorithm,avg_time_us,avg_char_comparisons
random,2200,quick_sort,378.27,339188
random,2200,merge_sort,1069.92,30489
random,2200,ternary_string_quick_sort,94.63,27207
random,2200,lcp_string_merge_sort,3318.59,19547
random,2200,msd_radix_sort,368.68,5101
random,2200,msd_radix_sort_with_quick_switch,216.43,14427
random,2300,quick_sort,399.60,361139
random,2300,merge_sort,1093.76,32200
random,2300,ternary_string_quick_sort,111.87,33735
random,2300,lcp_string_merge_sort,3489.40,20541
random,2300,msd_radix_sort,390.28,5348
random,2300,msd_radix_sort_with_quick_switch,230.96,15509
random,2400,quick_sort,409.73,373614
random,2400,merge_sort,1138.38,33878
random,2400,ternary_string_quick_sort,103.18,30241
random,2400,lcp_string_merge_sort,3586.66,21607
random,2400,msd_radix_sort,430.27,5602
random,2400,msd_radix_sort_with_quick_switch,243.71,16104
random,2500,quick_sort,406.48,395151
random,2500,merge_sort,1131.42,35589
random,2500,ternary_string_quick_sort,108.30,32059
random,2500,lcp_string_merge_sort,3735.78,22642
random,2500,msd_radix_sort,443.07,5878
random,2500,msd_radix_sort_with_quick_switch,253.82,16905
random,2600,quick_sort,456.52,414975
random,2600,merge_sort,1260.57,37382
random,2600,ternary_string_quick_sort,117.04,33115
random,2600,lcp_string_merge_sort,3923.53,23737
random,2600,msd_radix_sort,467.72,6160
random,2600,msd_radix_sort_with_quick_switch,267.02,17730
random,2700,quick_sort,453.49,427097
random,2700,merge_sort,1296.32,39079
random,2700,ternary_string_quick_sort,119.28,34034
random,2700,lcp_string_merge_sort,4094.18,24669
random,2700,msd_radix_sort,459.65,6412
random,2700,msd_radix_sort_with_quick_switch,279.97,18608
random,2800,quick_sort,462.62,444879
random,2800,merge_sort,1364.44,40775
random,2800,ternary_string_quick_sort,119.64,36691
random,2800,lcp_string_merge_sort,4269.20,25708
random,2800,msd_radix_sort,513.51,6678
random,2800,msd_radix_sort_with_quick_switch,281.89,19800
random,2900,quick_sort,528.16,472822
random,2900,merge_sort,1401.65,42603
random,2900,ternary_string_quick_sort,135.82,37336
random,2900,lcp_string_merge_sort,4450.58,26798
random,2900,msd_radix_sort,529.36,6951
random,2900,msd_radix_sort_with_quick_switch,310.44,20618
random,3000,quick_sort,503.11,470189
random,3000,merge_sort,1493.51,44397
random,3000,ternary_string_quick_sort,138.14,40189
random,3000,lcp_string_merge_sort,4570.20,27883
random,3000,msd_radix_sort,553.63,7215
random,3000,msd_radix_sort_with_quick_switch,314.50,21791
reversed,100,quick_sort,9.03,12363
reversed,100,merge_sort,24.13,687
reversed,100,ternary_string_quick_sort,1.61,682
reversed,100,lcp_string_merge_sort,99.81,384
reversed,100,msd_radix_sort,19.27,247
reversed,100,msd_radix_sort_with_quick_switch,7.72,610
reversed,200,quick_sort,19.36,26144
reversed,200,merge_sort,50.67,1504
reversed,200,ternary_string_quick_sort,2.61,1482
reversed,200,lcp_string_merge_sort,171.75,795
reversed,200,msd_radix_sort,32.68,490
reversed,200,msd_radix_sort_with_quick_switch,15.31,1225
reversed,300,quick_sort,26.47,39642
reversed,300,merge_sort,76.84,2337
reversed,300,ternary_string_quick_sort,3.87,2369
reversed,300,lcp_string_merge_sort,304.24,1181
reversed,300,msd_radix_sort,49.83,732
reversed,300,msd_radix_sort_with_quick_switch,21.31,1862
reversed,400,quick_sort,38.95,57783
reversed,400,merge_sort,113.18,3187
reversed,400,ternary_string_quick_sort,5.56,3232
reversed,400,lcp_string_merge_sort,471.03,1579
reversed,400,msd_radix_sort,68.25,976
reversed,400,msd_radix_sort_with_quick_switch,29.61,2443
reversed,500,quick_sort,40.98,59759
reversed,500,merge_sort,146.63,3822
reversed,500,ternary_string_quick_sort,8.43,4170
reversed,500,lcp_string_merge_sort,571.88,1871
reversed,500,msd_radix_sort,84.33,1218
reversed,500,msd_radix_sort_with_quick_switch,36.28,3035
reversed,600,quick_sort,57.42,81164
reversed,600,merge_sort,179.12,4937
reversed,600,ternary_string_quick_sort,9.32,5246
reversed,600,lcp_string_merge_sort,713.70,2371
reversed,600,msd_radix_sort,104.02,1462
reversed,600,msd_radix_sort_with_quick_switch,45.55,3645
reversed,700,quick_sort,71.92,101894
reversed,700,merge_sort,218.92,5847
reversed,700,ternary_string_quick_sort,10.86,6193
reversed,700,lcp_string_merge_sort,852.78,2767
reversed,700,msd_radix_sort,113.53,1691
reversed,700,msd_radix_sort_with_quick_switch,51.49,4247
reversed,800,quick_sort,85.00,116403
